id,u,v,key,osmid,length,name
1852,2085078799,11014003540,0,198370722,3.749,Avenida Mariscal Cáceres
1853,2085088946,11016601693,0,198372047,141.459,Avenida la Salle
1854,2085088948,11016601697,0,198372047,48.806,Avenida la Salle
1855,2085097486,4055499740,0,354948228,10.332,Calle Paucarpata
1856,2085097486,9768435421,0,"[1167131312, 1063438652, 1167131311]",69.31299999999999,
1857,2085113730,4232854916,0,423711152,4.844,
1858,2085113730,3347239079,0,"[1185159262, 110819413, 198374830]",83.458,"['Avenida Lambramani', 'Calle Paucarpata']"
1859,2085113730,4232665802,0,110840785,88.80000000000001,
1860,2085170832,2085170838,0,901427648,35.155,
1861,2087388631,2087388631,0,"[862525785, 862525786]",33.782000000000004,
1862,2087449443,10904424596,0,198637979,19.298,Calle Cayetano Arenas
1863,2087449443,10858131536,0,809391022,11.743,Avenida Miguel Forga
1864,2087449443,10904424638,0,198637979,17.43,Calle Cayetano Arenas
1865,2087449445,2087449451,0,198637976,17.152,Calle Jacinto Ibáñez
1866,2087449445,10904424556,0,809391022,8.989,Avenida Miguel Forga
1867,2087449451,10904424559,0,24010201,9.529,Avenida Miguel Forga
1868,2087471699,5532164236,0,103800670,18.935,Avenida Miguel Forga
1869,2087471699,4957793145,0,505965077,4.349,
1870,2087471699,10904424405,0,103800670,6.178,Avenida Miguel Forga
1871,2087471703,7567888647,0,491223451,23.724,Avenida Miguel Forga
1872,2087471703,4096502701,0,"[1167637751, 505965078, 505965079]",23.217,
1873,2087471703,10904424561,0,491223451,133.996,Avenida Miguel Forga
1874,2087471706,10859102200,0,1167637739,7.402,
1875,2087471706,4096502701,0,"[1167637739, 1167637740, 505965079]",14.707,
1876,2087471706,2087709217,0,110816100,83.98600000000002,Avenida Arturo Ibáñez
1877,2087709217,10779219046,0,198666191,5.265,
1878,2087709218,10907229438,0,110816100,5.575,Avenida Arturo Ibáñez
1879,2087709231,11005217792,0,198666193,5.451,
1880,2087709231,9410629306,0,110816100,35.466,Avenida Arturo Ibáñez
1881,2087821444,5391127548,0,110820639,43.056,Paz Soldán
1882,2099985001,5150516924,0,"[561141976, 561141979, 200018280]",237.647,"['Juan del la Torre', 'Avenida Arequipa']"
1883,2100076873,5169519126,0,408760591,76.82,Calle Villalba
1884,2100151396,2100151397,0,1276425075,10.79,
1885,2100151397,6327629824,0,460060854,33.714,
1886,2363115240,3743488254,0,1275747445,2.093,Óvalo Venezuela
1887,2363115240,2364574304,0,227815986,10.007,Avenida Venezuela
1888,2363115240,10770784240,0,"[1186410481, 1275746490, 1275746489]",37.395,Óvalo Venezuela
1889,2363115241,7221094354,0,227815526,18.027,
1890,2363115241,3743488254,0,1186410480,22.684,Óvalo Venezuela
1891,2363776252,2363776301,0,"[423891842, 423891843, 1186053588, 227667741]",359.2060000000001,Avenida los Incas
1892,2363776252,4067059210,0,227727841,93.709,
1893,2363776252,5175036499,0,525278090,59.816,Avenida los Incas
1894,2363776255,4020781508,0,525278087,50.942,Avenida los Incas
1895,2363776255,2363776303,0,"[423891844, 423891845, 1186053589, 227667740, 227667743]",386.53400000000005,Avenida los Incas
1896,2363776257,4067034692,0,175698672,92.20400000000001,Avenida Daniel Alcides Carrión
1897,2363776257,3347190401,0,1052731443,31.168,
1898,2363776257,11015145899,0,175698672,50.564,Avenida Daniel Alcides Carrión
1899,2363776269,11015162714,0,1185866264,2.129,
1900,2363776269,2363776278,0,227727838,11.504999999999999,
1901,2363776269,11015145899,0,"[1185866264, 1185872539, 1185866263]",19.886,
1902,2363776269,4536345257,0,227661752,36.54,Avenida Daniel Alcides Carrión
1903,2363776278,2363776286,0,227727838,33.52,
1904,2363776278,11013404107,0,"[1185635041, 1185872537, 1185635044]",6.122999999999999,
1905,2363776286,2363776301,0,227727837,79.254,
1906,2363776286,11013404107,0,1276425068,32.215,
1907,2363776301,5483426616,0,227667738,30.437,Avenida Pedro P. Diaz
1908,2363776303,4020779075,0,227727839,42.945,
1909,2363776303,11013404092,0,1276190813,41.019,Avenida Pedro P. Diaz
1910,2364574302,11015162861,0,227815986,5.687,Avenida Venezuela
1911,2364574302,4066990063,0,"[1184525523, 1184525524, 327911109]",38.623,Pasaje Zarumilla
1912,2364574302,11015162858,0,1186028381,5.795,Avenida Venezuela
1913,2364574303,4110717640,0,"[423891065, 1185866290, 1185866291, 1029047433]",442.6599999999999,Avenida Venezuela
1914,2364574303,9487442830,0,227815988,137.377,
1915,2364574304,11019063252,0,"[1186364817, 1186364818, 1186364789]",18.43,
1916,2364574304,9487442830,0,"[1186364789, 1186364787, 1186364788, 1186410485]",29.016000000000002,
1917,2364574304,11015162861,0,227815986,90.495,Avenida Venezuela
1918,2365980323,5468179467,0,110817424,71.233,San Francisco
1919,2399925942,11015162837,0,"[649901516, 110816527]",25.398999999999997,
1920,2399925942,9487442831,0,355528285,31.96,Vírgen del Pilar
1921,2399925942,2399925946,0,"[1029047424, 1029047425, 1275766909]",33.229,Vírgen del Pilar
1922,2399925943,11015162791,0,327911195,8.122,Avenida Venezuela
1923,2399925943,2399925949,0,"[1029047426, 355528285, 1275766910]",36.276,Vírgen del Pilar
1924,2399925943,9487442831,0,355528285,3.27,Vírgen del Pilar
1925,2399925946,11015162830,0,424199337,14.579999999999998,Avenida Vírgen del Pilar
1926,2399925948,11019063346,0,1186070587,12.083,Pasaje Santa Rosa
1927,2399925948,2399925951,0,327911195,106.72800000000001,Avenida Venezuela
1928,2399925948,11019063350,0,327911195,8.074,Avenida Venezuela
1929,2399925949,11015162794,0,649901510,16.45,Avenida Vírgen del Pilar
1930,2399925951,3347233542,0,327911195,41.887,Avenida Venezuela
1931,2399925951,5393862394,0,"[1186070586, 110815551]",85.613,Pasaje Santa Rosa
1932,2546198580,5465543164,0,110829366,14.274,
1933,2546198580,4106720360,0,559192680,21.131,Calle Montereal
1934,2546200721,2546200726,0,110843379,19.301,
1935,2546200721,5633802135,0,247757244,16.391,
1936,2546200724,5393843663,0,109454288,15.933,
1937,2546200724,2546200728,0,109454288,19.455,
1938,2546200724,5633802138,0,247757244,9.507,
